path,date,kind,context
交接\inbox_比特币.jsonl,2026-09-14,FUTURE_DATE,"≥50，则它是全新的可行区"",""priority"":""high""} {""req_id"":""btc-268"",""ts"":""2026-09-14T00:00:00+08:00"",""expert"":""btc"
交接\inbox_比特币.jsonl,2026-09-14,FUTURE_DATE,"47.01% 压进 40%"",""priority"":""high""} {""req_id"":""btc-269"",""ts"":""2026-09-14T00:00:00+08:00"",""expert"":""btc"
交接\inbox_比特币.jsonl,2026-09-14,FUTURE_DATE,"器，而不再兼任'拒单闸门'"",""priority"":""high""} {""req_id"":""btc-270"",""ts"":""2026-09-14T00:00:00+08:00"",""expert"":""btc"
交接\inbox_比特币.jsonl,2026-09-14,FUTURE_DATE,"益改进，则本金就是本线的解"",""priority"":""high""} {""req_id"":""btc-271"",""ts"":""2026-09-14T00:00:00+08:00"",""expert"":""btc"
交接\inbox_比特币.jsonl,2026-09-14,FUTURE_DATE,"是空集结论被打破的直接可能"",""priority"":""high""} {""req_id"":""btc-272"",""ts"":""2026-09-14T00:00:00+08:00"",""expert"":""btc"
交接\inbox_比特币.jsonl,2026-09-14,FUTURE_DATE,"频率跌破的临界本金在哪一档"",""priority"":""high""} {""req_id"":""btc-273"",""ts"":""2026-09-14T00:00:00+08:00"",""expert"":""btc"
交接\inbox_比特币.jsonl,2026-09-14,FUTURE_DATE,"金/收紧锁)的首次组合"",""priority"":""normal""} {""req_id"":""btc-274"",""ts"":""2026-09-14T00:00:00+08:00"",""expert"":""btc"
交接\inbox_比特币.jsonl,2026-09-14,FUTURE_DATE,"一直接检验该棘轮假设的条目"",""priority"":""high""} {""req_id"":""btc-275"",""ts"":""2026-09-14T03:00:00+08:00"",""expert"":""btc"
交接\inbox_比特币.jsonl,2026-09-14,FUTURE_DATE,"金1000'成为三段解候选"",""priority"":""high""} {""req_id"":""btc-276"",""ts"":""2026-09-14T03:00:00+08:00"",""expert"":""btc"
交接\inbox_比特币.jsonl,2026-09-14,FUTURE_DATE,"1000'在三段上都有希望"",""priority"":""high""} {""req_id"":""btc-277"",""ts"":""2026-09-14T03:00:00+08:00"",""expert"":""btc"
交接\inbox_比特币.jsonl,2026-09-14,FUTURE_DATE,"'这条组合在三段上的可行性"",""priority"":""high""} {""req_id"":""btc-278"",""ts"":""2026-09-14T03:00:00+08:00"",""expert"":""btc"
交接\inbox_比特币.jsonl,2026-09-14,FUTURE_DATE,"edge存在性'的直接检验"",""priority"":""high""} {""req_id"":""btc-279"",""ts"":""2026-09-14T03:00:00+08:00"",""expert"":""btc"
交接\inbox_比特币.jsonl,2026-09-14,FUTURE_DATE,"更强的cap约束】才能盈利"",""priority"":""high""} {""req_id"":""btc-280"",""ts"":""2026-09-14T03:00:00+08:00"",""expert"":""btc"
交接\inbox_比特币.jsonl,2026-09-14,FUTURE_DATE,"到valid的可行cap区"",""priority"":""high""} {""req_id"":""btc-281"",""ts"":""2026-09-14T06:00:00+08:00"",""expert"":""btc"
交接\inbox_比特币.jsonl,2026-09-14,FUTURE_DATE,"应、valid段无edge"",""priority"":""high""} {""req_id"":""btc-282"",""ts"":""2026-09-14T06:00:00+08:00"",""expert"":""btc"
交接\inbox_比特币.jsonl,2026-09-14,FUTURE_DATE,"同参,仅入金改为1000)"",""priority"":""high""} {""req_id"":""btc-283"",""ts"":""2026-09-14T06:00:00+08:00"",""expert"":""btc"
交接\inbox_比特币.jsonl,2026-09-14,FUTURE_DATE,"'模式下至少test段成立"",""priority"":""high""} {""req_id"":""btc-284"",""ts"":""2026-09-14T06:00:00+08:00"",""expert"":""btc"
交接\inbox_比特币.jsonl,2026-09-14,FUTURE_DATE,"态在比例配仓下是否仍成立'"",""priority"":""high""} {""req_id"":""btc-285"",""ts"":""2026-09-14T06:00:00+08:00"",""expert"":""btc"
交接\inbox_比特币.jsonl,2026-09-14,FUTURE_DATE,"1手）而非任何cap筛选'"",""priority"":""high""} {""req_id"":""btc-286"",""ts"":""2026-09-14T06:00:00+08:00"",""expert"":""btc"
交接\inbox_比特币.jsonl,2026-09-14,FUTURE_DATE,"无edge的段'的关键对照"",""priority"":""high""} {""req_id"":""btc-287"",""ts"":""2026-09-14T06:00:00+08:00"",""expert"":""btc"
交接\MT5运行请求协议.md,2026.09.30,FUTURE_DATE,5.31** | 最终检验（含 2026-01 大行情，压测） | | **留白** | **2026.06.01 – 2026.09.30** | ★用户自己测，**任何 AI 不得使用** |  
交接\日元滚动\报告_001.md,2026.09.30,FUTURE_DATE,d` 必含 `InpLatencyMs=300`**（硬约束） ③ 日期**绝不触及留白段** `2026.06.01–2026.09.30` 且 `from < to` ④ `opt` 每个参数**
交接\比特币\报告_001.md,2026.09.30,FUTURE_DATE,"*（本批 27 条全部 `phase:""train""`；未使用验证/测试/留白） | | 留白段 2026.06.01–2026.09.30 | **未触碰** | | Model | 2（协议 §5"
交接\比特币\报告_002.md,2026.09.30,FUTURE_DATE," 2024.05.31**；批量2 全部 22 条 `phase:""train""` | | 留白 2026.06.01–2026.09.30 | **未触碰** | | Model | 2 | | 入"
交接\比特币\报告_029.md,2026-09-14,FUTURE_DATE,景** ＋ 改用**本金**作为杠杆（批 7 条）  - 报告编号：报告_029 - 作者：比特币线研究代理 - 时间：2026-09-14T00:00:00+08:00 - 状态：**空集确认；本金
交接\比特币\报告_030.md,2026-09-14,FUTURE_DATE,"in 解决）＋ ★一条比""参数无解""更根本的可能性  - 报告编号：报告_030 - 作者：比特币线研究代理 - 时间：2026-09-14T03:00:00+08:00 - 状态：**变量分离批次 "
交接\比特币\报告_031.md,2026-09-14,FUTURE_DATE,机制是**「最小手地板」**；决定性判定批次已提交  - 报告编号：报告_031 - 作者：比特币线研究代理 - 时间：2026-09-14T06:00:00+08:00 - 状态：**否证接受 + 
交接\比特币\报告_032.md,2026-09-14,FUTURE_DATE,2 — ★最终结论报告（比特币线收官）  - 报告编号：报告_032（最终结论） - 作者：比特币线研究代理 - 时间：2026-09-14T09:00:00+08:00 - 状态：**结论定稿；决定
交接\滚动优化\报告_001.md,2026.09.30,FUTURE_DATE,迟 | **全部 54 条显式 `InpLatencyMs=300`** | | 留白段 | **2026.06.01–2026.09.30 完全未触碰**（54 条请求逐条脚本校验 `to < 20
交接\滚动优化\报告_002.md,2026.09.30,FUTURE_DATE,InpLatencyMs=300`（`fixed` 里显式写，脚本断言） | | 留白段 | **2026.06.01–2026.09.30 完全未触碰**（脚本逐条断言 `to < 2026.06.
交接\滚动优化\报告_004.md,2026.09.30,FUTURE_DATE,"ass（第一批）+ 验证段 1,296 + 测试段 864（v2 回填） | | 留白段 | **2026.06.01–2026.09.30 完全未触碰**（脚本逐条断言） | | 未做 | 未运行 "
交接\黄金\报告_001.md,2026.09.30,FUTURE_DATE,| 测试 | 2025.06.01 – 2026.05.31 | ⬜ 同上 | | 留白 | 2026.06.01 – 2026.09.30 | 🚫 **绝不使用** |  ---  ## 1. 事实
交接\黄金\报告_016.md,2026.09.30,FUTURE_DATE,规模**：**468 pass 网格 + 117 条逐条 = 585 次回测** - **留白段 2026.06.01–2026.09.30：全程 1 次未使用** ✅ - **禁令遵守**：只用真实
执行_20260912\stage3_protocol\主口径协议.md,2026-09-30,FUTURE_DATE,26-05-31 —— **冻结后只跑一次** | 框架 §6 | | **留白** | **2026-06-01 ～ 2026-09-30，完全禁止** | 用户硬约束 |  ### 1.1 实测的
